발생일,규모,깊이(km),위도,경도
2017-03-09,2.0,22.0,35.82,129.78
2017-03-19,1.9,19.0,35.88,129.71
2017-04-15,3.1,13.0,36.11,129.36
2017-06-25,1.0,19.0,35.98,129.61
2017-09-11,1.9,5.0,36.1,129.35
2017-09-16,1.6,10.0,36.12,129.36
2017-09-22,1.3,8.0,36.11,129.35
2017-09-23,1.1,5.0,36.1,129.35
2017-09-29,1.8,19.0,35.86,129.68
2017-10-03,1.2,16.0,36.02,129.53
2017-11-15,5.4,7.0,36.11,129.37
2017-11-16,3.6,8.0,36.12,129.37
2017-11-17,2.6,12.0,36.1,129.35
2017-11-18,1.8,9.0,36.11,129.35
2017-11-19,3.5,9.0,36.12,129.36
2017-11-20,3.6,12.0,36.14,129.36
2017-11-21,2.4,9.0,36.11,129.33
2017-11-22,2.5,8.0,36.1,129.35
2017-11-23,2.3,14.0,36.11,129.37
2017-11-24,2.3,8.0,36.11,129.35
2017-11-25,2.3,8.0,36.11,129.35
2017-11-26,1.9,8.0,36.12,129.37
2017-11-27,1.7,6.0,36.12,129.38
2017-11-28,1.1,9.0,36.12,129.36
2017-11-29,1.4,12.0,36.09,129.33
2017-11-30,1.5,8.0,36.13,129.38
2017-12-01,2.4,7.0,36.1,129.35
2017-12-02,1.4,9.0,36.14,129.39
2017-12-03,1.5,11.0,36.12,129.36
2017-12-04,1.0,12.0,36.09,129.32
2017-12-05,2.1,11.0,36.02,129.45
2017-12-07,1.6,9.0,36.08,129.33
2017-12-08,1.1,7.0,36.08,129.33
2017-12-09,2.3,9.0,36.1,129.35
2017-12-13,1.6,5.0,36.14,129.37
2017-12-14,1.3,9.0,36.08,129.35
2017-12-15,1.5,9.0,36.1,129.35
2017-12-17,1.8,9.0,36.09,129.35
2017-12-19,1.4,9.0,36.1,129.34
2017-12-20,1.6,6.0,36.08,129.32
2017-12-22,1.5,9.0,36.11,129.36
2017-12-23,1.9,19.0,35.81,129.7
2017-12-25,3.5,10.0,36.11,129.36
2017-12-26,2.2,6.0,36.14,129.37
2017-12-27,2.8,8.0,36.11,129.36
2017-12-28,1.2,11.0,36.08,129.33
2017-12-29,2.1,10.0,36.11,129.34
2017-12-30,1.5,10.0,36.09,129.35
